k,inertia,silhouette,avg_cluster_size,small_clusters,small_cluster_ratio,min_cluster_size,max_cluster_size,inertia_scaled,silhouette_scaled,balance_score,interpretability_score,elbow_curvature,elbow_scaled,selection_score
2,1320.580862252807,0.0392933506603693,3855.5,0,0.0,1882,5829,0.0,0.06358496072379051,1.0,0.0,0.0,0.0,0.22543398428951622
3,1287.2552075437095,0.03341420358467166,2570.3333333333335,0,0.0,1737,3613,0.0534374993590645,0.0,1.0,0.0,0.012067213589383896,0.6500540015507051,0.36251350038767627
4,1261.4551256665025,0.03732032159998579,1927.75,1,0.25,411,3864,0.0948077851287451,0.04224598524042993,0.75,0.0,0.005591536987958334,0.30121294919639113,0.2422016313952698
5,1239.142138679379,0.03377931699229163,1542.2,0,0.0,892,2593,0.13058653391046737,0.003948824784331491,1.0,0.0,0.002383236384503662,0.1283836021391694,0.23367543044852496
6,1218.3154284415934,0.041489099229539125,1285.1666666666667,0,0.0,525,2408,0.16398204630768598,0.0873327228961487,1.0,0.0,0.002296874626921519,0.12373134288467068,0.2658659248796272
7,1198.9211364802047,0.044749058348793995,1101.5714285714287,0,0.0,381,2478,0.19508068407798307,0.12259028149947494,1.0,0.0,0.003758720695453799,0.20248016749622647,0.29965615447384664
8,1181.8709255395793,0.04260363252075314,963.875,1,0.125,44,1680,0.22242060115282636,0.0993867767639524,0.875,0.0,0.0033290798573469838,0.17933565745899316,0.25958862507032926
9,1162.7445739270356,0.05165517492055001,856.7777777777778,1,0.1111111111111111,44,2254,0.25308959808501663,0.19728226408045452,0.8888888888888888,0.0,0.008354391144113404,0.4500463469485973,0.36920227014710894
10,1148.8283380181235,0.04987446559397195,771.1,1,0.1,44,1570,0.2754042038730935,0.1780232914551579,0.9,0.0,0.006814977031247782,0.3671189754639082,0.34298906044804023
11,1130.662023529229,0.051634821251706466,701.0,1,0.09090909090909091,130,2218,0.30453378669241815,0.19706213227947417,0.9090909090909091,0.0,0.0011234552179444357,0.060519900023174,0.275773009735765
12,1113.1963383946904,0.051669751929936274,642.5833333333334,1,0.08333333333333333,44,1661,0.33253991429379837,0.19743991935890934,0.9166666666666666,0.0,0.0027642827739465803,0.14891035658824384,0.299536890223958
13,1097.4545650140283,0.06085683501392284,593.1538461538462,1,0.07692307692307693,44,1851,0.357781759121232,0.2968013249403759,0.9230769230769231,0.0,0.009753070771169714,0.5253924309240465,0.43468402232254666
14,1087.795177088745,0.06802596598553914,550.7857142857143,2,0.14285714285714285,93,1443,0.3732705331774959,0.37433789706292997,0.8571428571428572,0.0,0.007939039217137456,0.4276715725085356,0.4280816233808774
15,1073.1847027008534,0.06872546439504938,514.0666666666667,3,0.2,44,1341,0.3966983464508973,0.3819032085481482,0.8,0.0,0.0031370520045536088,0.16899122515132764,0.3550090897070912
16,1060.5306131206746,0.06622286981498957,481.9375,3,0.1875,44,1273,0.41698910771974507,0.35483680316114025,0.8125,0.0,0.005790523186560592,0.31193222367484724,0.38241777718316794
17,1044.2653332974103,0.07074089504605138,453.5882352941176,2,0.11764705882352941,44,1274,0.4430703921751534,0.4037007715509889,0.8823529411764706,0.0,0.00984202370474041,0.5301842753700731,0.470496965698208
18,1034.1379133582518,0.0736317350756583,428.3888888888889,3,0.16666666666666666,44,1349,0.4593096529258214,0.4349661825663283,0.8333333333333334,0.0,0.012381084559093258,0.6669620539622138,0.5073936531837515
19,1031.7318081117594,0.06854846772355314,405.8421052631579,3,0.15789473684210525,44,810,0.46316782911739607,0.3799889297828062,0.8421052631578947,0.0,0.017903546926828717,0.9644539922600344,0.56153012260971
20,1018.1603708398565,0.07448289205076651,385.55,4,0.2,44,989,0.4849295522357995,0.44417173264616083,0.8,0.0,0.0019147616990468075,0.10314713461079573,0.3634554767111633
21,1003.3948154299794,0.07905428765693105,367.1904761904762,3,0.14285714285714285,44,906,0.5086060370532497,0.493612919663308,0.8571428571428572,0.0,0.018563401749081665,1.0,0.6188737392938947
22,1000.2061025807791,0.07986860541732695,350.5,1,0.045454545454545456,44,783,0.5137191201216182,0.5024200411972277,0.9545454545454546,0.0,0.01745564141060907,0.9403255742968878,0.626958500962204
23,986.1313886021658,0.07856793135970751,335.2608695652174,2,0.08695652173913043,44,1043,0.5362878446005959,0.48835281209012615,0.9130434782608696,0.0,0.011137863574128382,0.5999904395044068,0.5279474303643261
24,979.0026694796062,0.08253576463999375,321.2916666666667,1,0.041666666666666664,44,928,0.5477187055054451,0.5312662687594529,0.9583333333333334,0.0,0.0017828321959838522,0.09604016656440942,0.4281832158115502
25,970.7621084692294,0.07553266588643345,308.44,2,0.08,44,961,0.5609323986062782,0.4555253911361255,0.92,0.0,0.004745260661250028,0.25562451997704444,0.43011628644871136
26,959.5622226364296,0.08435466170740095,296.5769230769231,3,0.11538461538461539,44,903,0.5788913523683613,0.550938254695947,0.8846153846153846,0.022820512820512673,0.00390450112787577,0.21033327730834284,0.4533047750516184
27,950.7973320402998,0.0837079368551837,285.5925925925926,2,0.07407407407407407,44,1014,0.5929458050025687,0.5439437070518989,0.9259259259259259,0.09604938271604924,0.0018465132315781396,0.09947062809592466,0.4420377324373333
28,940.8808856432918,0.0918573985653188,275.39285714285717,3,0.10714285714285714,44,849,0.6088467708683541,0.6320828871212265,0.8928571428571429,0.1640476190476189,0.004797719567414815,0.25845045171487274,0.5206243392057802
29,933.9564794355226,0.08610231418847154,265.8965517241379,3,0.10344827586206896,44,625,0.6199500171667248,0.5698397063754022,0.896551724137931,0.2273563218390806,0.002561209112643126,0.13797089279554214,0.47584239885249474
30,928.6293405316035,0.08755357571479411,257.03333333333336,3,0.1,44,750,0.6284920543524524,0.5855355898025434,0.9,0.2864444444444443,0.0035050832822197675,0.1888168628572166,0.5043851183019882
31,921.1162985335855,0.09244746887842595,248.74193548387098,1,0.03225806451612903,44,714,0.6405391748203997,0.6384646967953349,0.967741935483871,0.34172043010752684,0.00490786605281246,0.26438398086467385,0.5662883255472057
