cluster_id,topic_label,top_words,common_journals,size
0,Rough / Rough Set / Rough Sets,"rough, rough set, rough sets, set, sets, decision, set theory, fuzzy","INTERNATIONAL JOURNAL OF APPROXIMATE REASONING, FUNDAMENTA INFORMATICAE, INFORMATION SCIENCES, INTERNATIONAL JOURNAL OF GENERAL SYSTEMS, EXPERT SYSTEMS",64
1,Deep / Neural / Deep Learning,"deep, neural, deep learning, learning, convolutional, convolutional neural, neural networks, neural network","JOURNAL OF MACHINE LEARNING RESEARCH, MEDICAL IMAGE ANALYSIS, COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE, SPEECH COMMUNICATION, COMPUTER SPEECH AND LANGUAGE",66
2,Theory / Methods / Science Theory,"theory, methods, science theory, theory methods, model, systems, algorithm, methods computer","STATISTICS AND COMPUTING, DISTRIBUTED COMPUTING, PERFORMANCE EVALUATION, IEEE TRANSACTIONS ON INFORMATION THEORY, MATHEMATICAL AND COMPUTER MODELLING OF DYNAMICAL SYSTEMS",360
3,Iot / Things / Internet Things,"iot, things, internet things, internet, things iot, devices, security, architecture","COMPUTER, JOURNAL OF NETWORK AND COMPUTER APPLICATIONS, COMPUTER STANDARDS & INTERFACES, IEEE NETWORK, MOBILE NETWORKS & APPLICATIONS",75
4,Sensor / Sensor Networks / Wireless Sensor,"sensor, sensor networks, wireless sensor, wireless, energy, networks, nodes, network","WIRELESS NETWORKS, COMPUTER COMMUNICATIONS, IEEE TRANSACTIONS ON PARALLEL AND DISTRIBUTED SYSTEMS, IEEE-ACM TRANSACTIONS ON NETWORKING, TELECOMMUNICATION SYSTEMS",171
5,Feature / Feature Selection / Selection,"feature, feature selection, selection, classification, features, support vector, vector, svm","INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE, JOURNAL OF MACHINE LEARNING RESEARCH, ARTIFICIAL INTELLIGENCE REVIEW, JOURNAL OF INTELLIGENT INFORMATION SYSTEMS, NEUROCOMPUTING",92
6,Cloud / Cloud Computing / Computing,"cloud, cloud computing, computing, service, resource, data, resources, services","IEEE TRANSACTIONS ON PARALLEL AND DISTRIBUTED SYSTEMS, JOURNAL OF SUPERCOMPUTING, COMPUTING, JOURNAL OF NETWORK AND COMPUTER APPLICATIONS, JOURNAL OF PARALLEL AND DISTRIBUTED COMPUTING",145
7,Hardware / Architecture Engineering / Science Hardware,"hardware, architecture engineering, science hardware, engineering, architecture, hardware architecture, electrical, engineering electrical","DISPLAYS, INTEGRATION-THE VLSI JOURNAL, MICROPROCESSORS AND MICROSYSTEMS, COMPUTERS & ELECTRICAL ENGINEERING, IEEE TRANSACTIONS ON COMPUTERS",143
8,Perceived / Acceptance / Technology,"perceived, acceptance, technology, technology acceptance, information, model, trust, satisfaction","JOURNAL OF ORGANIZATIONAL COMPUTING AND ELECTRONIC COMMERCE, JOURNAL OF COMPUTER INFORMATION SYSTEMS, ONLINE INFORMATION REVIEW, EUROPEAN JOURNAL OF INFORMATION SYSTEMS, INFORMATION SYSTEMS MANAGEMENT",102
9,Flow / Geology / Geosciences Multidisciplinary,"flow, geology, geosciences multidisciplinary, geosciences, multidisciplinary computer, multidisciplinary, science interdisciplinary, interdisciplinary applications","COMPUTERS AND GEOTECHNICS, COMPUTERS & FLUIDS, COMPUTATIONAL GEOSCIENCES, COMPUTERS & GEOSCIENCES, COMPUTERS AND ELECTRONICS IN AGRICULTURE",178
10,Security / Mathematics / Encryption,"security, mathematics, encryption, secure, key, cryptography, mathematics applied, applied computer","JOURNAL OF CRYPTOLOGY, DESIGNS CODES AND CRYPTOGRAPHY, IEEE TRANSACTIONS ON COMPUTERS, JOURNAL OF THE ACM, SIAM JOURNAL ON COMPUTING",120
