article_id,actual_journal,predicted_top_1,predicted_top_5,hit_at_1,hit_at_3,hit_at_5,model
88653,ACM COMPUTING SURVEYS,DISTRIBUTED AND PARALLEL DATABASES,DISTRIBUTED AND PARALLEL DATABASES | SIGMOD RECORD | VLDB JOURNAL | ACM TRANSACTIONS ON DATABASE SYSTEMS | MULTIMEDIA TOOLS AND APPLICATIONS,0,0,0,TFIDF
88654,ACM COMPUTING SURVEYS,JOURNAL OF LOGIC AND COMPUTATION,JOURNAL OF LOGIC AND COMPUTATION | ARTIFICIAL INTELLIGENCE | KNOWLEDGE ENGINEERING REVIEW | EXPERT SYSTEMS | AUTONOMOUS AGENTS AND MULTI-AGENT SYSTEMS,0,0,0,TFIDF
88657,ACM COMPUTING SURVEYS,DATA & KNOWLEDGE ENGINEERING,DATA & KNOWLEDGE ENGINEERING | ACM COMPUTING SURVEYS | JOURNAL OF INTELLIGENT INFORMATION SYSTEMS | MULTIMEDIA TOOLS AND APPLICATIONS | THEORETICAL COMPUTER SCIENCE,0,1,1,TFIDF
88658,ACM COMPUTING SURVEYS,DATA & KNOWLEDGE ENGINEERING,DATA & KNOWLEDGE ENGINEERING | DISTRIBUTED AND PARALLEL DATABASES | ACM TRANSACTIONS ON DATABASE SYSTEMS | MULTIMEDIA TOOLS AND APPLICATIONS | DATA MINING AND KNOWLEDGE DISCOVERY,0,0,0,TFIDF
88661,ACM COMPUTING SURVEYS,JOURNAL OF COMMUNICATIONS AND NETWORKS,JOURNAL OF COMMUNICATIONS AND NETWORKS | WIRELESS PERSONAL COMMUNICATIONS | ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY | COMPUTER COMMUNICATIONS | ACM TRANSACTIONS ON COMPUTER SYSTEMS,0,0,0,TFIDF
88663,ACM COMPUTING SURVEYS,ACTA INFORMATICA,ACTA INFORMATICA | JOURNAL OF HEURISTICS | COMPUTER GRAPHICS FORUM | INFORMATION AND COMPUTATION | SIAM JOURNAL ON COMPUTING,0,0,0,TFIDF
88664,ACM COMPUTING SURVEYS,COMPUTING AND INFORMATICS,COMPUTING AND INFORMATICS | INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE | COMPUTER VISION AND IMAGE UNDERSTANDING | JOURNAL OF INFORMATION SCIENCE AND ENGINEERING | MULTIMEDIA TOOLS AND APPLICATIONS,0,0,0,TFIDF
88665,ACM COMPUTING SURVEYS,INFORMATION SCIENCES,INFORMATION SCIENCES | JOURNAL OF HEURISTICS | IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION | JOURNAL OF EXPERIMENTAL & THEORETICAL ARTIFICIAL INTELLIGENCE | THEORETICAL COMPUTER SCIENCE,0,0,0,TFIDF
88668,ACM COMPUTING SURVEYS,MULTIMEDIA TOOLS AND APPLICATIONS,MULTIMEDIA TOOLS AND APPLICATIONS | IEEE TRANSACTIONS ON BROADCASTING | ACM COMPUTING SURVEYS | JOURNAL OF UNIVERSAL COMPUTER SCIENCE | PARALLEL COMPUTING,0,1,1,TFIDF
88670,ACM COMPUTING SURVEYS,COMPUTER SYSTEMS SCIENCE AND ENGINEERING,COMPUTER SYSTEMS SCIENCE AND ENGINEERING | MOBILE NETWORKS & APPLICATIONS | ACM TRANSACTIONS ON COMPUTER SYSTEMS | ACM TRANSACTIONS ON DATABASE SYSTEMS | JOURNAL OF COMPUTER AND SYSTEM SCIENCES,0,0,0,TFIDF
88672,ACM COMPUTING SURVEYS,INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING,INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING | SOFTWARE-PRACTICE & EXPERIENCE | ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS | INFORMATION AND SOFTWARE TECHNOLOGY | JOURNAL OF VISUAL LANGUAGES AND COMPUTING,0,0,0,TFIDF
