true_journal,predicted_journal,count
JOURNAL OF CRYPTOLOGY,DESIGNS CODES AND CRYPTOGRAPHY,6
CONCURRENCY AND COMPUTATION-PRACTICE & EXPERIENCE,SOFTWARE-PRACTICE & EXPERIENCE,5
DESIGN AUTOMATION FOR EMBEDDED SYSTEMS,ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,5
IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS,5
IEEE-ACM TRANSACTIONS ON NETWORKING,IEEE TRANSACTIONS ON MOBILE COMPUTING,5
MATHEMATICAL PROGRAMMING,OPTIMIZATION METHODS & SOFTWARE,5
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,4
ADVANCES IN ENGINEERING SOFTWARE,COMPUTERS & STRUCTURES,4
CMC-COMPUTERS MATERIALS & CONTINUA,CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES,4
CRYPTOGRAPHY AND COMMUNICATIONS-DISCRETE-STRUCTURES BOOLEAN FUNCTIONS AND SEQUENCES,DESIGNS CODES AND CRYPTOGRAPHY,4
GRAPHICAL MODELS,COMPUTERS & GRAPHICS-UK,4
IEEE NETWORK,IEEE WIRELESS COMMUNICATIONS,4
