true_journal,test_samples,top_1_accuracy,top_5_hit_rate,median_true_rank
COMPUTATIONAL GEOSCIENCES,15,0.7333,1.0,1.0
COMPUTER APPLICATIONS IN ENGINEERING EDUCATION,15,0.8667,1.0,1.0
COMPUTERS AND GEOTECHNICS,15,1.0,1.0,1.0
NETWORKS,15,0.9333,1.0,1.0
SOFTWARE-PRACTICE & EXPERIENCE,15,0.5333,1.0,1.0
BMC BIOINFORMATICS,14,0.6429,1.0,1.0
COMPUTERS & FLUIDS,14,0.8571,1.0,1.0
CONCURRENCY AND COMPUTATION-PRACTICE & EXPERIENCE,14,0.3571,1.0,2.0
MINDS AND MACHINES,14,0.7143,1.0,1.0
COMPUTERS & EDUCATION,13,0.6923,1.0,1.0
