cluster,size,top_terms,dominant_subjects,example_titles
0,465,"flow, equations, numerical, method, fluid, boundary, model, simulation, equation, differential","Computer Science, Computer Science, Interdisciplinary Applications, Mathematics, Engineering, Mathematics, Interdisciplinary Applications",Fluid-based analysis of a network of AQM routers supporting TCP flows with an application to RED | A MATLAB differentiation matrix suite | A BVP solver based on residual control and the MATLAB PSE
1,259,"video, quality, content, visual, motion, multimedia, based, detection, time, image","Computer Science, Computer Science, Information Systems, Computer Science, Software Engineering, Computer Science, Theory & Methods, Engineering",A Control-Theoretic Approach for Dynamic Adaptive Video Streaming over HTTP | Evidence that Viewers Prefer Higher Frame-Rate Film | Parallel Reconfigurable Computing-Based Mapping Algorithm for Motion Estimation in Advanced Video Coding
2,334,"mobile, devices, applications, user, location, users, computing, mobile devices, data, wireless","Computer Science, Computer Science, Information Systems, Telecommunications, Computer Science, Software Engineering, Computer Science, Hardware & Architecture",Mobile Crowd Sensing and Computing: The Review of an Emerging Human-Powered Sensing Paradigm | A Survey on Wireless Indoor Localization from the Device Perspective | The Evolution of Android Malware and Android Analysis Techniques
3,513,"software, development, engineering, software development, software engineering, project, quality, process, requirements, projects","Computer Science, Computer Science, Software Engineering, Computer Science, Information Systems, Computer Science, Theory & Methods, Engineering","Search-Based Software Engineering: Trends, Techniques and Applications | A Survey of Software Aging and Rejuvenation Studies | Model-Driven Engineering of Self-Adaptive Software with EUREMA"
4,598,"performance, memory, parallel, high, architecture, computing, systems, applications, processor, hardware","Computer Science, Computer Science, Theory & Methods, Computer Science, Hardware & Architecture, Computer Science, Software Engineering, Computer Science, Interdisciplinary Applications",A survey of rollback-recovery protocols in message-passing systems | Algorithms and data structures for flash memories | High-Performance Computing with Quantum Processing Units
5,255,"internet, things, iot, internet things, smart, things iot, devices, security, technologies, challenges","Computer Science, Computer Science, Information Systems, Telecommunications, Computer Science, Software Engineering, Engineering","Fog Computing for Sustainable Smart Cities: A Survey | Software Platforms for Smart Cities: Concepts, Requirements, Challenges, and a Unified Reference Architecture | Non-Volatile Processor Based on MRAM for Ultra-Low-Power IoT Devices"
6,881,"data, systems, design, research, information, management, analysis, security, framework, user","Computer Science, Computer Science, Information Systems, Computer Science, Software Engineering, Computer Science, Interdisciplinary Applications, Computer Science, Theory & Methods",The many faces of publish/subscribe | Methodologies for Data Quality Assessment and Improvement | A Survey of Attack and Defense Techniques for Reputation Systems
7,449,"gene, protein, expression, genes, molecular, prediction, biological, sequence, data, methods","Mathematical & Computational Biology, Computer Science, Biochemical Research Methods, Biochemistry & Molecular Biology, Computer Science, Interdisciplinary Applications",A Survey of Link Prediction in Complex Networks | Evolutionary systems: a language generating device inspired by evolving communities of cells | The RNA Ontology (RNAO): An ontology for integrating RNA sequence and structure data
8,557,"problem, complexity, systems, algorithm, algorithms, linear, time, number, keywords keyword, functions","Computer Science, Computer Science, Theory & Methods, Mathematics, Mathematics, Applied, Computer Science, Software Engineering","Dynamic Entropy-Compressed Sequences and Full-Text Indexes | Low-Dimensional Lattice Basis Reduction Revisited | Coresets, Sparse Greedy Approximation, and the Frank-Wolfe Algorithm"
9,619,"sensor, sensor networks, wireless, wireless sensor, networks, energy, nodes, network, sensor network, wsns","Computer Science, Telecommunications, Computer Science, Information Systems, Engineering, Engineering, Electrical & Electronic",Coverage Problems in Sensor Networks: A Survey | Underwater Wireless Sensor Networks: A New Challenge for Topology Control-Based Systems | Design Considerations of Sub-mW Indoor Light Energy Harvesting for Wireless Sensor Systems
10,187,"image, images, scheme, transform, watermarking, wavelet, proposed, digital, method, embedding","Computer Science, Computer Science, Information Systems, Engineering, Computer Science, Theory & Methods, Engineering, Electrical & Electronic",Protecting the Content Integrity of Digital Imagery with Fidelity Preservation | A singular-value decomposition-based image watermarking using genetic algorithm | Reversible data hiding based on multilevel histogram modification and sequential recovery
11,434,"robot, control, human, robots, model, self, cognitive, systems, behavior, robotics","Computer Science, Computer Science, Artificial Intelligence, Computer Science, Theory & Methods, Neurosciences, Neurosciences & Neurology",Modeling Embodied Visual Behaviors | Division of Labor in a Group of Robots Inspired by Ants' Foraging Behavior | Cooperation Through Self-Assembly in Multi-Robot Systems
