record_id,title,true_journal,predicted_journal,runner_up_journal,predicted_confidence,score_margin,true_rank,is_top_1,is_top_5,cluster_label,subjects,abstract
90644,A 22.5 MHz current-mode KHN-biquad using differential voltage current conveyor and grounded passive elements,AEU-INTERNATIONAL JOURNAL OF ELECTRONICS AND COMMUNICATIONS,AEU-INTERNATIONAL JOURNAL OF ELECTRONICS AND COMMUNICATIONS,COMPUTERS & ELECTRICAL ENGINEERING,0.0304,0.0218,1,True,True,Hardware & Architecture,"Engineering, Electrical & Electronic; Telecommunications; Engineering","In this paper, a current-mode (CM) Kerwin-Huelsman-Newcomb (KHN) biquad is proposed. The circuit employs three differential-voltage current conveyors (DVCCs) as active elements together with two capacitors and four resistors as passive elements, which all are grounded. The circuit simultaneously provides the three basic filter functions, namely bandpass (BP), highpass (HP) and lowpass (LP) functions: The notch and allpass (AP) functions can be obtained by connecting appropriate output currents directly without using additional active elements. The output signals are obtained at high output impedance ports, which is important for easy cascading in CM operation. SPICE simulation results are given to verify the theoretical analyses. (C) 2004 Elsevier GmbH. All rights reserved."
89121,Logic Programs with Propositional Connectives and Aggregates,ACM TRANSACTIONS ON COMPUTATIONAL LOGIC,THEORY AND PRACTICE OF LOGIC PROGRAMMING,JOURNAL OF EXPERIMENTAL & THEORETICAL ARTIFICIAL INTELLIGENCE,0.0259,0.0198,9,False,False,Theory & Methods,"Computer Science, Theory & Methods; Logic; Computer Science; Science & Technology - Other Topics","Answer set programming (ASP) is a logic programming paradigm that can be used to solve complex combinatorial search problems. Aggregates are an ASP construct that plays an important role in many applications. Defining a satisfactory semantics of aggregates turned out to be a difficult problem, and in this article we propose a new approach, based on an analogy between aggregates and propositional connectives. First we extend the definition of an answer set/stable model to cover arbitrary propositional theories; then we define aggregates on top of them both as primitive constructs and as abbreviations for formulas. Our definition of an aggregate combines expressiveness and simplicity, and it inherits many theorems about programs with nested expressions, such as theorems about strong equivalence and splitting."
92445,An Off-Line Robot Simulation Toolbox,COMPUTER APPLICATIONS IN ENGINEERING EDUCATION,COMPUTER APPLICATIONS IN ENGINEERING EDUCATION,CONNECTION SCIENCE,0.025,0.0187,1,True,True,Education & Educational Research,"Computer Science, Interdisciplinary Applications; Education, Scientific Disciplines; Engineering, Multidisciplinary; Computer Science; Education & Educational Research; Engineering","Robotics has gained popularity in education so many engineering school,,are offering robotics courses. In this Study, a novel robot toolbox, ""ROBOLAB"" is developed for the educational users to improve the understanding of robotics fundamentals through interactive real-time simulation. To understand manipulator movement in 3-D Space with increasing number of joints is very difficult for engineering students; because the mathematical model between joint space and physical space becomes more complex. in order to overcome this complexity, ROBOLAB based on MATLAB Graphical User interface (GUI) includes a library for the 16 different 6 degree of freedom (6-DOF) fundamental serial robot manipulators, The user has option to view an animation of the robot manipulators with choosing one of them or to create own GUIs based on robot project. ROBOLAB provides valuable analysis tools to students and engineering professionals in which they call Compute rotation and transformation matrix, forward and inverse kinematics, and trajectory planning. Additionally, it allows user to use powerful MATLAB features such as controlling over data and formatting. In order to illustrate the features of ROBOLAB, RS cylindrical robot manipulator is given here as an example. Usage of real industrial robots ill laboratory may be a very expensive way to teach robotics courses. ROBOLAB may help students to accomplish the courses and projects involving robots with minimum cost and to see 3-D space robot applications more effectively. (C) 2009 Wiley Periodicals, Inc. Comput Appl Eng Educ 18: 41-52, 2010 Published online in Wiley InterScience (www.interscience.wiley.com)); DOI 10.1002/cae.20236"
106872,3C PIV and PLIF measurement in turbulent mixing - Round jet impingement,JOURNAL OF VISUALIZATION,JOURNAL OF VISUALIZATION,ETRI JOURNAL,0.0249,0.0202,1,True,True,Interdisciplinary Applications,"Computer Science, Interdisciplinary Applications; Imaging Science & Photographic Technology; Computer Science","The present work focuses on the measurements of instantaneous concentration fields of a passive scalar due to an impinging round jet injection into a liquid filled rectangular tank. Simultaneous measurements of velocity and passive scalar concentration fields have been conducted by using Particle Image Velocimetry (planar 2C and 3C PIV) and Planar Laser Induced Fluorescence (PLIF) techniques. The mixing injection behavior is analyzed for several injection values of depth and flow rate. Results showed the classical developing and self-similar regions of the jet, the mixing layer and the coupled concentration and velocity fields due to impingement. Finally, 3C PIV reveals a 3D flow jet structure which seems to be a swirl that does not disturb 2D analysis."
93649,Arbitrary high order PNPM schemes on unstructured meshes for the compressible Navier-Stokes equations,COMPUTERS & FLUIDS,COMPUTERS & FLUIDS,JOURNAL OF VISUALIZATION,0.0245,0.0158,1,True,True,Interdisciplinary Applications,"Computer Science, Interdisciplinary Applications; Mechanics; Computer Science","In this paper, we propose a new unified family of arbitrary high order accurate explicit one-step finite volume and discontinuous Galerkin schemes on unstructured triangular and tetrahedral meshes for the solution of the compressible Navier-Stokes equations. This new family of numerical methods has first been proposed in [16] for purely hyperbolic systems and has been called PNPM schemes, where N indicates the polynomial degree of the test functions and M is the degree of the polynomials used for flux and source computation. A particular feature of the general PNPM schemes is that they contain classical high order accurate finite volume schemes (N = 0) as well as standard discontinuous Galerkin methods (M = N) just as special cases, which therefore allows for a direct efficiency comparison. In the application section of this paper we first show numerical convergence results on unstructured meshes obtained for the compressible Navier-Stokes equations with Sutherland's viscosity law, comparing all third to sixth order accurate PNPM schemes with each other. In order to validate the method also in practice we show several classical steady and unsteady CFD applications, such as the laminar boundary layer flow over a flat plate at high Reynolds numbers, flow past a NACA0012 airfoil, the unsteady flows past a circular cylinder and a sphere, the unsteady flows of a compressible mixing layer in two space dimensions and finally we also show applications to supersonic flows with shock Mach numbers up to M-s = 10. (C) 2009 Elsevier Ltd. All rights reserved."
92441,Content-Rich Interactive Online Laboratory Systems,COMPUTER APPLICATIONS IN ENGINEERING EDUCATION,COMPUTER APPLICATIONS IN ENGINEERING EDUCATION,COMPUTERS & EDUCATION,0.0243,0.0185,1,True,True,Education & Educational Research,"Computer Science, Interdisciplinary Applications; Education, Scientific Disciplines; Engineering, Multidisciplinary; Computer Science; Education & Educational Research; Engineering","online learning environments are rapidly becoming viable options for offering students a bridge from theoretical concepts to practical engineering applications. They represent collections of integrated tools that provide a delivery mechanism for rich learning content, advanced assessment capabilities as well as affordable access to a wide range of educational resources. Such online learning environments have been used at Stevens Institute of Technology (SIT) for a number of years to provide undergraduate engineering students with a comprehensive laboratory experience based on content-rich and flexible remote and virtual laboratory experiments. These Web-based educational tools were developed using various open source programming languages and free software applications. As discussed in this article, these open source components form a powerful combination for the cost-efficient development, implementation and sharing of Web-based virtual experimentation systems. This article describes the delivery methods for online experiments and the corresponding software modules implemented, which were integrated into a comprehensive student laboratory experience currently being used at SIT in a sophomore-level core undergraduate course on solid mechanics taken by all undergraduate engineering majors as well as in a junior-level course on mechanisms and machine dynamics for mechanical engineering majors, Furthermore, some results of the learning outcomes assessment for online experiments conducted over several years at SIT are summarized. (C) 2008 Wiley Periodicals, Inc. Comput Appl Eng Educ 17: 61-79, 2009; Published online in Wiley InterScience (www.interscience.wiley.com); DOI 10.1002/cae.20210"
106859,Effect of groove shape on flow characteristics around a circular cylinder with grooves,JOURNAL OF VISUALIZATION,JOURNAL OF VISUALIZATION,COMPUTERS & FLUIDS,0.0243,0.0187,1,True,True,Interdisciplinary Applications,"Computer Science, Interdisciplinary Applications; Imaging Science & Photographic Technology; Computer Science","In the flow around a circular cylinder, a sudden decrease in the drag force occurs at a high Reynolds number, but the same phenomenon occurs at a lower Reynolds number in the case where there exist grooves or roughness on the circular cylinder surface. In this paper, in order to make clear the flow characteristics around a circular cylinder in the case of changing the shapes of grooves, the drag coefficient, pressure distribution, velocity distribution and turbulent distribution were measured. Moreover the flow around the cylinder was analyzed by applying the RNG k - epsilon turbulent model, and the surface flow pattern was investigated using the oil-film technique. From these results, it is clear that the drag coefficient of a circular cylinder with triangular grooves decreases by about 15% compared with that of a circular cylinder with arc grooves."
102772,Architectures for next generation high throughput satellite systems,INTERNATIONAL JOURNAL OF SATELLITE COMMUNICATIONS AND NETWORKING,INTERNATIONAL JOURNAL OF SATELLITE COMMUNICATIONS AND NETWORKING,SOFTWARE-PRACTICE & EXPERIENCE,0.0229,0.0173,1,True,True,Software Engineering,"Engineering, Aerospace; Telecommunications; Engineering","This paper introduces architectures for next-generation high throughput satellite (HTS) systems comprising various satellite payload options, ground terminal advances, and scalable system-level software control and management techniques. It describes a model to estimate aggregate system capacity as a function of radio band, available spectrum, spot beams, waveforms, and payload capability, including antenna size, power, and digital/analog connectivity across various links and availability objectives. This system model has been used to evaluate aggregate capacity of representative Ka-Band low earth orbit and geosynchronous orbit systems. A system implementation approach is described for next-generation HTS systems based on widely used Industry standards. Modulation and coding techniques are based on Digital Video Broadcasting - S2 extensions (DVB-S2X), which comprises spectrally efficient modulation schemes combined with low-rate codes. Several implementation technologies are analyzed related to configurable onboard payload and ground-based, software-defined resource control and management, key enablers of next-generation HTS systems. Basic architectural building blocks are introduced for design of end-to-end systems across low earth orbit, medium earth orbit, and geosynchronous orbit satellite constellations, with and without onboard processing and inter-satellite links, and including several efficient scenarios to achieve lossless handovers. Copyright (c) 2016 John Wiley & Sons, Ltd."
95611,Digital forensics research: The next 10 years,DIGITAL INVESTIGATION,DIGITAL INVESTIGATION,IEEE ANNALS OF THE HISTORY OF COMPUTING,0.022,0.0166,1,True,True,Information Systems,"Computer Science, Information Systems; Computer Science, Interdisciplinary Applications; Computer Science","Today's Golden Age of computer forensics is quickly coming to an end. Without a clear strategy for enabling research efforts that build upon one another, forensic research will fall behind the market, tools will become increasingly obsolete, and law enforcement, military and other users of computer forensics products will be unable to rely on the results of forensic analysis. This article summarizes current forensic research directions and argues that to move forward the community needs to adopt standardized, modular approaches for data representation and forensic processing. (C) 2010 Digital Forensic Research Workshop. Published by Elsevier Ltd. All rights reserved."
95528,On the algebraic structure of quasi-cyclic codes II: Chain rings,DESIGNS CODES AND CRYPTOGRAPHY,DESIGNS CODES AND CRYPTOGRAPHY,JOURNAL OF COMMUNICATIONS TECHNOLOGY AND ELECTRONICS,0.0214,0.0155,1,True,True,Theory & Methods,"Computer Science, Theory & Methods; Mathematics, Applied; Computer Science; Mathematics",The ring decomposition technique of part I is extended to the case when the factors in the direct product decomposition are no longer fields but arbitrary chain rings. This includes not only the case of quasi-cyclic codes over rings but also the case of quasi-cyclic codes over fields whose co-index is no longer prime to the characteristic of the field. A new quaternary construction of the Leech lattice is derived.
