true_journal,predicted_journal,count
OPTIMIZATION METHODS & SOFTWARE,MATHEMATICAL PROGRAMMING,7
CMC-COMPUTERS MATERIALS & CONTINUA,CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES,5
IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS,5
IEEE WIRELESS COMMUNICATIONS,IEEE COMMUNICATIONS MAGAZINE,5
JOURNAL OF CRYPTOLOGY,DESIGNS CODES AND CRYPTOGRAPHY,5
ONLINE INFORMATION REVIEW,INTERNET RESEARCH,5
ADVANCES IN ENGINEERING SOFTWARE,COMPUTERS & STRUCTURES,4
COMPUTERS & OPERATIONS RESEARCH,COMPUTERS & INDUSTRIAL ENGINEERING,4
CONCURRENCY AND COMPUTATION-PRACTICE & EXPERIENCE,SOFTWARE-PRACTICE & EXPERIENCE,4
CRYPTOGRAPHY AND COMMUNICATIONS-DISCRETE-STRUCTURES BOOLEAN FUNCTIONS AND SEQUENCES,DESIGNS CODES AND CRYPTOGRAPHY,4
IEEE TRANSACTIONS ON COMMUNICATIONS,IEEE COMMUNICATIONS LETTERS,4
IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS,IEEE TRANSACTIONS ON COMMUNICATIONS,4
