journal,article_count
ACM TRANSACTIONS ON GRAPHICS,76
ACM TRANSACTIONS ON INFORMATION SYSTEMS,76
COMPUTER AIDED GEOMETRIC DESIGN,76
COMPUTER SPEECH AND LANGUAGE,76
COMPUTING,76
DESIGNS CODES AND CRYPTOGRAPHY,76
IEEE COMMUNICATIONS LETTERS,76
IEEE NETWORK,76
IEEE TRANSACTIONS ON COMMUNICATIONS,76
IEEE TRANSACTIONS ON COMPUTERS,76
IEEE TRANSACTIONS ON INFORMATION THEORY,76
IEEE TRANSACTIONS ON PARALLEL AND DISTRIBUTED SYSTEMS,76
IEEE-ACM TRANSACTIONS ON NETWORKING,76
INFORMATION AND COMPUTATION,76
INTERNATIONAL JOURNAL OF PARALLEL PROGRAMMING,76
INTERNATIONAL JOURNAL OF UNCERTAINTY FUZZINESS AND KNOWLEDGE-BASED SYSTEMS,76
JOURNAL OF AUTOMATED REASONING,76
JOURNAL OF COMPUTER AND SYSTEMS SCIENCES INTERNATIONAL,76
JOURNAL OF CRYPTOLOGY,76
JOURNAL OF LOGIC AND COMPUTATION,76
JOURNAL OF MATHEMATICAL IMAGING AND VISION,76
JOURNAL OF MOLECULAR GRAPHICS & MODELLING,76
JOURNAL OF PARALLEL AND DISTRIBUTED COMPUTING,76
JOURNAL OF THE ACM,76
KNOWLEDGE-BASED SYSTEMS,76
MATHEMATICAL AND COMPUTER MODELLING OF DYNAMICAL SYSTEMS,76
MOBILE NETWORKS & APPLICATIONS,76
NEURAL PROCESSING LETTERS,76
OPTIMIZATION METHODS & SOFTWARE,76
PERFORMANCE EVALUATION,76
PHOTONIC NETWORK COMMUNICATIONS,76
TELECOMMUNICATION SYSTEMS,76
THEORY OF COMPUTING SYSTEMS,76
ACM TRANSACTIONS ON DATABASE SYSTEMS,75
ACTA INFORMATICA,75
ADVANCES IN ENGINEERING SOFTWARE,75
CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES,75
COMPUTATIONAL GEOSCIENCES,75
COMPUTER APPLICATIONS IN ENGINEERING EDUCATION,75
COMPUTER SYSTEMS SCIENCE AND ENGINEERING,75
COMPUTERS & ELECTRICAL ENGINEERING,75
COMPUTERS AND GEOTECHNICS,75
DISTRIBUTED AND PARALLEL DATABASES,75
FORMAL METHODS IN SYSTEM DESIGN,75
IEEE COMMUNICATIONS MAGAZINE,75
IEICE TRANSACTIONS ON INFORMATION AND SYSTEMS,75
INFORMATION SYSTEMS MANAGEMENT,75
INTERNATIONAL JOURNAL OF APPROXIMATE REASONING,75
JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH,75
JOURNAL OF COMMUNICATIONS AND NETWORKS,75
JOURNAL OF COMPUTER SCIENCE AND TECHNOLOGY,75
JOURNAL OF HEURISTICS,75
JOURNAL OF INFORMATION SCIENCE AND ENGINEERING,75
JOURNAL OF VISUAL LANGUAGES AND COMPUTING,75
MICROPROCESSORS AND MICROSYSTEMS,75
MULTIDIMENSIONAL SYSTEMS AND SIGNAL PROCESSING,75
ONLINE INFORMATION REVIEW,75
SIAM JOURNAL ON COMPUTING,75
STATISTICS AND COMPUTING,75
THEORETICAL COMPUTER SCIENCE,75
ACM TRANSACTIONS ON COMPUTER SYSTEMS,74
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,74
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,74
AEU-INTERNATIONAL JOURNAL OF ELECTRONICS AND COMMUNICATIONS,74
COMPUTERS & GEOSCIENCES,74
DATA MINING AND KNOWLEDGE DISCOVERY,74
DISTRIBUTED COMPUTING,74
GRAPHICAL MODELS,74
IEEE TRANSACTIONS ON BROADCASTING,74
IEEE TRANSACTIONS ON MULTIMEDIA,74
INFORMATION PROCESSING LETTERS,74
INTERNATIONAL JOURNAL OF COOPERATIVE INFORMATION SYSTEMS,74
INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE,74
JOURNAL OF COMPUTER AND SYSTEM SCIENCES,74
JOURNAL OF COMPUTER INFORMATION SYSTEMS,74
JOURNAL OF INTELLIGENT & FUZZY SYSTEMS,74
JOURNAL OF INTELLIGENT INFORMATION SYSTEMS,74
JOURNAL OF NEW MUSIC RESEARCH,74
JOURNAL OF SUPERCOMPUTING,74
JOURNAL OF VISUAL COMMUNICATION AND IMAGE REPRESENTATION,74
MATHEMATICAL PROGRAMMING,74
PARALLEL COMPUTING,74
SCIENCE OF COMPUTER PROGRAMMING,74
WIRELESS NETWORKS,74
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,73
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,73
COMPUTER JOURNAL,73
CONNECTION SCIENCE,73
EVOLUTIONARY COMPUTATION,73
IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,73
IEICE TRANSACTIONS ON COMMUNICATIONS,73
INFORMATION SCIENCES,73
