record_id,title,true_journal,predicted_journal,runner_up_journal,predicted_confidence,score_margin,true_rank,is_top_1,is_top_5,cluster_label,subjects,abstract
98950,A comprehensive approach to intrusion detection alert correlation,IEEE TRANSACTIONS ON DEPENDABLE AND SECURE COMPUTING,REQUIREMENTS ENGINEERING,ARTIFICIAL INTELLIGENCE REVIEW,0.0043,0.0001,60,False,False,Information Systems,"Computer Science, Hardware & Architecture; Computer Science, Information Systems; Computer Science, Software Engineering; Computer Science","Alert correlation is a process that analyzes the alerts produced by one or more intrusion detection systems and provides a more succinct and high-level view of occurring or attempted intrusions. Even though the correlation process is often presented as a single step, the analysis is actually carried out by a number of components, each of which has a specific goal. Unfortunately, most approaches to correlation concentrate on just a few components of the process, providing formalisms and techniques that address only specific correlation issues. This paper presents a general correlation model that includes a comprehensive set of components and a framework based on this model. A tool using the framework has been applied to a number of well-known intrusion detection data sets to identify how each component contributes to the overall goals of correlation. The results of these experiments show that the correlation components are effective in achieving alert reduction and abstraction. They also show that the effectiveness of a component depends heavily on the nature of the data set analyzed."
94440,"Elastic systems: Towards cyber-physical ecosystems of people, processes, and things",COMPUTER STANDARDS & INTERFACES,SCIENCE OF COMPUTER PROGRAMMING,PERSONAL AND UBIQUITOUS COMPUTING,0.0043,0.0001,30,False,False,Information Systems,"Computer Science, Hardware & Architecture; Computer Science, Software Engineering; Computer Science","Pervasive mobility and an exponential increase in the number of connected devices are adding to IT complexity. Users are bypassing traditional IT to access cloud-based services. Boundaries between computing systems, people, and things are disappearing. New approaches are required to manage today's and tomorrow's increasingly connected and heterogeneous ecosystems of people, computing processes, and things. We envision future elastic systems driven by business requirements, integrating computing people, and things in open dynamic ecosystems in which all entities collaborate towards common goals. We introduce elasticity as a means of integrating computing processes, people, and things. We identify the core computing fields enabling future elastic systems: (i) hardware and software reusability, (ii) smart things, (iv) adaptation, and (v) human-based computing. We look at the development of these fields, and identify fundamental properties for building future elastic systems. We further envision a new field of research: Elastic Computing. We identify and discuss challenges to be addressed by this field towards realizing future elastic systems: Are existing programming languages and models sufficient for designing and managing future elastic systems? How important are the interactions between people, computers, and things? Can people and things be monitored and controlled like computing resources? (C) 2017 Elsevier B.V. All rights reserved."
93858,Non-invasive beat-to-beat cardiac output monitoring by an improved method of transthoracic bioimpedance measurement,COMPUTERS IN BIOLOGY AND MEDICINE,CMC-COMPUTERS MATERIALS & CONTINUA,COMPUTERS & ELECTRICAL ENGINEERING,0.0043,0.0,15,False,False,Hardware & Architecture,"Biology; Computer Science, Interdisciplinary Applications; Engineering, Biomedical; Mathematical & Computational Biology; Life Sciences & Biomedicine - Other Topics; Computer Science; Engineering","The report describes a method of impedance cardiography using an improved estimate of thoracic volume. The formulas and their implementation in hardware and software are explained and new shortband electrodes are described which generate a good homogeneous thoracic field. Examples of stroke volume and cardiac output curves underline the capabilities of the monitoring system ""Task Force (R) Monitor"". In several experiments, results are compared to thermodilution as well as to BioZ measurements: the new method excels in comparison with thermodilution and is comparable to the BioZ device. Compared to traditional electrodes, the new shorthand electrodes are shown to provide better reproducibility. (c) 2005 Published by Elsevier Ltd."
99451,Saliency-Guided Quality Assessment of Screen Content Images,IEEE TRANSACTIONS ON MULTIMEDIA,IEEE TRANSACTIONS ON BROADCASTING,IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS,0.0043,0.0,7,False,False,Artificial Intelligence,"Computer Science, Information Systems; Computer Science, Software Engineering; Telecommunications; Computer Science","With the widespread adoption of multidevice communication, such as telecommuting, screen content images (SCIs) have become more closely and frequently related to our daily lives. For SCIs, the tasks of accurate visual quality assessment, high-efficiency compression, and suitable contrast enhancement have thus currently attracted increased attention. In particular, the quality evaluation of SCIs is important due to its good ability for instruction and optimization in various processing systems. Hence, in this paper, we develop a new objective metric for research on perceptual quality assessment of distorted SCIs. Compared to the classical MSE, our method, which mainly relies on simple convolution operators, first highlights the degradations in structures caused by different types of distortions and then detects salient areas where the distortions usually attract more attention. A comparison of our algorithm with the most popular and state-of-the-art quality measures is performed on two new SCI databases (SIQAD and SCD). Extensive results are provided to verify the superiority and efficiency of the proposed IQA technique."
98967,A New Decision-Diagram-Based Method for Efficient Analysis on Multistate Systems,IEEE TRANSACTIONS ON DEPENDABLE AND SECURE COMPUTING,IEICE TRANSACTIONS ON INFORMATION AND SYSTEMS,FORMAL METHODS IN SYSTEM DESIGN,0.0044,0.0001,287,False,False,Software Engineering,"Computer Science, Hardware & Architecture; Computer Science, Information Systems; Computer Science, Software Engineering; Computer Science","Multistate systems can model many practical systems in a wide range of real applications. A distinct characteristic of these systems is that the systems and their components may assume more than two levels of performance ( or states), varying from perfect operation to complete failure. The nonbinary property of multistate systems and their components makes the analysis of multistate systems difficult. This paper proposes a new decision-diagram-based method, called multistate multivalued decision diagrams (MMDD), for the analysis of multistate systems with multistate components. Examples show how the MMDD models are generated and evaluated to obtain the system-state probabilities. The MMDD method is compared with the existing binary decision diagram (BDD)-based method. Empirical results show that the MMDD method can offer less computational complexity and simpler model evaluation algorithm than the BDD-based method."
89605,Writeprints: A stylometric approach to identity-level identification and similarity detection in cyberspace,ACM TRANSACTIONS ON INFORMATION SYSTEMS,KSII TRANSACTIONS ON INTERNET AND INFORMATION SYSTEMS,INTERNATIONAL ARAB JOURNAL OF INFORMATION TECHNOLOGY,0.0044,0.0002,12,False,False,Information Systems,"Computer Science, Information Systems; Computer Science","One of the problems often associated with online anonymity is that it hinders social accountability, as substantiated by the high levels of cybercrime. Although identity cues are scarce in cyberspace, individuals often leave behind textual identity traces. In this study we proposed the use of stylometric analysis techniques to help identify individuals based on writing style. We incorporated a rich set of stylistic features, including lexical, syntactic, structural, content-specific, and idiosyncratic attributes. We also developed the Writeprints technique for identification and similarity detection of anonymous identities. Writeprints is a Karhunen-Loeve transforms-based technique that uses a sliding window and pattern disruption algorithm with individual author-level feature sets. The Writeprints,technique and extended feature set were evaluated on a testbed encompassing four online datasets spanning different domains: email, instant messaging, feedback comments, and program code. Writeprints outperformed benchmark techniques, including SVM, Ensemble SVM, PCA, and standard Karhunen-Loeve transforms, on the identification and similarity detection tasks with accuracy as high as 94% when differentiating between 100 authors. The extended feature set also significantly outperformed a baseline set of features commonly used in previous research. Furthermore, individual-author-level feature sets generally outperformed use of a single group of attributes."
111249,Optimizing Latin hypercube designs by particle swarm,STATISTICS AND COMPUTING,ADVANCES IN ENGINEERING SOFTWARE,NEURAL PROCESSING LETTERS,0.0045,0.0,394,False,False,Artificial Intelligence,"Computer Science, Theory & Methods; Statistics & Probability; Computer Science; Mathematics","Latin hypercube designs (LHDs) are widely used in many applications. As the number of design points or factors becomes large, the total number of LHDs grows exponentially. The large number of feasible designs makes the search for optimal LHDs a difficult discrete optimization problem. To tackle this problem, we propose a new population-based algorithm named LaPSO that is adapted from the standard particle swarm optimization (PSO) and customized for LHD. Moreover, we accelerate LaPSO via a graphic processing unit (GPU). According to extensive comparisons, the proposed LaPSO is more stable than existing approaches and is capable of improving known results."
102278,Pricing for utility-driven resource management and allocation in clusters,INTERNATIONAL JOURNAL OF HIGH PERFORMANCE COMPUTING APPLICATIONS,CLUSTER COMPUTING-THE JOURNAL OF NETWORKS SOFTWARE TOOLS AND APPLICATIONS,SOFTWARE-PRACTICE & EXPERIENCE,0.0045,0.0001,346,False,False,Information Systems,"Computer Science, Hardware & Architecture; Computer Science, Interdisciplinary Applications; Computer Science, Theory & Methods; Computer Science","Users perceive varying levels of utility for each different job completed by the cluster. Therefore, there is a need for existing cluster resource management systems (RMS) to provide a means for the user to express its perceived utility during job submission. The cluster RMS can then obtain and consider these user-centric needs such as Quality-of-Service requirements in order to achieve utility-driven resource management and allocation. We advocate the use of computational economy-for this purpose. In this paper, we describe an architectural framework for a utility-driven cluster RMS. We present a user-level job submission specification for soliciting user-centric information that is used by the cluster RMS for making better resource allocation decisions. In addition, we propose a dynamic pricing function that the cluster owner can use to determine the level of sharing within a cluster. Finally, we define two user-centric performance evaluation metrics: Job QoS Satisfaction and Cluster Profitability for measuring the effectiveness of the proposed pricing function in realizing utility-driven resource management and allocation."
98078,Spectrum sharing for unlicensed bands,IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,ICGA JOURNAL,IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS,0.0045,0.0003,137,False,False,Telecommunications,"Engineering, Electrical & Electronic; Telecommunications; Engineering","We study a spectrum sharing problem in an unlicensed band where multiple systems coexist and interfere with each other. Due to asymmetries and selfish system behavior, unfair and inefficient situations may arise. We investigate whether efficiency and fairness can be obtained with self-enforcing spectrum sharing rules. These rules have the advantage of not requiring a central authority that verifies compliance to the protocol. Any self-enforcing protocol must correspond to an equilibrium of a game. We first Analyze the possible outcomes of a one shot game, and observe that in many cases an inefficient solution results. However, systems often coexist for long periods and a repeated game is more appropriate to model their interaction. In this repeated game the possibility of building reputations and applying punishments allows for a larger set of self-enforcing outcomes. When this set includes the optimal operating point, efficient, fair, and incentive compatible spectrum sharing becomes possible. We present examples that illustrate that in many cases the performance loss due to selfish behavior is small. We also prove that our results are tight and quantify the best achievable performance in a non-cooperative scenario."
101944,Gamification for Online Communities: A Case Study for Delivering Government Services,INTERNATIONAL JOURNAL OF COOPERATIVE INFORMATION SYSTEMS,ACM TRANSACTIONS ON THE WEB,JOURNAL OF GRID COMPUTING,0.0045,0.0,54,False,False,Information Systems,"Computer Science, Information Systems; Computer Science","Gamification, the idea of inserting game dynamics into portals or social networks, has recently evolved as an approach to encourage active participation in online communities. For an online community to start and proceed on to a sustainable operation, it is important that members are encouraged to contribute positively and frequently. We decided to introduce gamification in an online community that we designed and developed with the Australian Government's Department of Human Services to support welfare recipients transitioning from one payment to another. We first defined a formal model of gamification and a gamification design process. In instantiating our model to the online community, we realised that our context applied a number of constraints on the gamification elements that could be introduced. In this paper, we outline the design and implementation of a gamification model for online communities and its instantiation into our context, with its specific requirements. While we cannot comment on the success of gamification to drive user engagement in our context (for lack of the possibility of a controlled experiment), we found our implementation of badges-based gamification a helpful way to provide a useful abstraction on the life of the community, providing feedback enabling us to monitor and analyze the community. We thus show how feed-back provided by such gamification data has a potential to be useful to community providers to better understand the community needs and addressing them appropriately to maintain a level of engagement in the community."
