true_journal,predicted_journal,count
IEEE WIRELESS COMMUNICATIONS,IEEE COMMUNICATIONS MAGAZINE,6
MATHEMATICAL PROGRAMMING,OPTIMIZATION METHODS & SOFTWARE,6
NEUROCOMPUTING,NEURAL NETWORKS,6
SOFTWARE QUALITY JOURNAL,IEEE TRANSACTIONS ON SOFTWARE ENGINEERING,6
ADVANCES IN ENGINEERING SOFTWARE,COMPUTERS & STRUCTURES,5
IEEE NETWORK,IEEE WIRELESS COMMUNICATIONS,5
ACM TRANSACTIONS ON APPLIED PERCEPTION,IEEE TRANSACTIONS ON HAPTICS,4
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,DESIGN AUTOMATION FOR EMBEDDED SYSTEMS,4
BRIEFINGS IN BIOINFORMATICS,EVOLUTIONARY BIOINFORMATICS,4
CMC-COMPUTERS MATERIALS & CONTINUA,CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES,4
COMPUTATIONAL LINGUISTICS,LANGUAGE RESOURCES AND EVALUATION,4
COMPUTER MUSIC JOURNAL,JOURNAL OF NEW MUSIC RESEARCH,4
