true_journal,test_samples,top_1_accuracy,top_5_hit_rate,median_true_rank
COMPUTATIONAL GEOSCIENCES,15,0.7333,1.0,1.0
COMPUTER APPLICATIONS IN ENGINEERING EDUCATION,15,0.8667,1.0,1.0
COMPUTERS AND GEOTECHNICS,15,1.0,1.0,1.0
NETWORKS,15,0.9333,1.0,1.0
SOFTWARE-PRACTICE & EXPERIENCE,15,0.5333,1.0,1.0
BMC BIOINFORMATICS,14,0.6429,1.0,1.0
COMPUTERS & FLUIDS,14,0.8571,1.0,1.0
CONCURRENCY AND COMPUTATION-PRACTICE & EXPERIENCE,14,0.3571,1.0,2.0
MINDS AND MACHINES,14,0.7143,1.0,1.0
COMPUTERS & EDUCATION,13,0.6923,1.0,1.0
ENVIRONMENTAL MODELLING & SOFTWARE,13,0.7692,1.0,1.0
BELL LABS TECHNICAL JOURNAL,12,0.9167,1.0,1.0
INTERNATIONAL JOURNAL OF SATELLITE COMMUNICATIONS AND NETWORKING,12,1.0,1.0,1.0
INTERNET RESEARCH,12,0.5,1.0,1.5
COMPUTERS AND CONCRETE,11,0.7273,1.0,1.0
IEEE ANNALS OF THE HISTORY OF COMPUTING,11,0.9091,1.0,1.0
JOURNAL OF STATISTICAL SOFTWARE,11,0.9091,1.0,1.0
INTERNATIONAL JOURNAL ON SEMANTIC WEB AND INFORMATION SYSTEMS,10,0.4,1.0,2.5
IET RADAR SONAR AND NAVIGATION,9,1.0,1.0,1.0
SIAM JOURNAL ON IMAGING SCIENCES,9,0.3333,1.0,2.0
THEORETICAL BIOLOGY AND MEDICAL MODELLING,9,0.8889,1.0,1.0
ACM TRANSACTIONS ON RECONFIGURABLE TECHNOLOGY AND SYSTEMS,8,1.0,1.0,1.0
IEEE TRANSACTIONS ON HAPTICS,8,1.0,1.0,1.0
INSTRUCTIONAL SCIENCE,8,0.75,1.0,1.0
JOURNAL OF CHEMINFORMATICS,8,0.5,1.0,1.5
JOURNAL OF OPTICAL COMMUNICATIONS AND NETWORKING,8,0.375,1.0,2.0
IEEE TRANSACTIONS ON COMPUTATIONAL INTELLIGENCE AND AI IN GAMES,7,0.5714,1.0,1.0
APPLIED CLINICAL INFORMATICS,6,0.6667,1.0,1.0
INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN BIOMEDICAL ENGINEERING,6,0.5,1.0,1.5
IET BIOMETRICS,5,0.4,1.0,2.0
RESEARCH SYNTHESIS METHODS,5,1.0,1.0,1.0
ACM TRANSACTIONS ON GRAPHICS,15,0.6667,0.9333,1.0
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,15,0.6,0.9333,1.0
COMPUTER SPEECH AND LANGUAGE,15,0.6667,0.9333,1.0
DESIGNS CODES AND CRYPTOGRAPHY,15,0.7333,0.9333,1.0
DISTRIBUTED COMPUTING,15,0.8,0.9333,1.0
JOURNAL OF COMPUTER AND SYSTEMS SCIENCES INTERNATIONAL,15,0.8,0.9333,1.0
JOURNAL OF MOLECULAR GRAPHICS & MODELLING,15,0.8667,0.9333,1.0
JOURNAL OF NEW MUSIC RESEARCH,15,0.9333,0.9333,1.0
MATHEMATICAL PROGRAMMING,15,0.5333,0.9333,1.0
PERFORMANCE EVALUATION,15,0.7333,0.9333,1.0
PHOTONIC NETWORK COMMUNICATIONS,15,0.6667,0.9333,1.0
DISPLAYS,14,0.8571,0.9286,1.0
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,14,0.7857,0.9286,1.0
