k,silhouette,selected
10,0.0489,False
11,0.0557,False
12,0.0579,False
13,0.0588,False
14,0.0607,False
15,0.0649,False
16,0.0673,False
17,0.0693,False
18,0.0717,False
19,0.0743,False
20,0.0751,False
21,0.078,False
22,0.0786,False
23,0.0799,False
24,0.0812,False
25,0.0835,False
26,0.0811,False
27,0.0833,False
28,0.0845,False
29,0.082,False
30,0.0858,False
31,0.0869,False
32,0.0866,False
33,0.0873,False
34,0.0911,False
35,0.0897,False
36,0.0923,False
37,0.0929,False
38,0.0939,False
39,0.0914,False
40,0.0949,False
41,0.097,False
42,0.0954,False
43,0.0963,False
44,0.1008,False
45,0.0994,False
46,0.0989,False
47,0.1026,False
48,0.1005,False
49,0.1026,False
50,0.1013,False
51,0.1037,False
52,0.1036,False
53,0.1063,False
54,0.1062,False
55,0.1048,False
56,0.1069,False
57,0.108,False
58,0.1079,False
59,0.1078,False
60,0.1105,True
