true_journal,predicted_journal,count
CMC-COMPUTERS MATERIALS & CONTINUA,CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES,5
COMPUTER MUSIC JOURNAL,JOURNAL OF NEW MUSIC RESEARCH,5
CONCURRENCY AND COMPUTATION-PRACTICE & EXPERIENCE,SOFTWARE-PRACTICE & EXPERIENCE,5
IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS,IEEE TRANSACTIONS ON COMMUNICATIONS,5
IEEE WIRELESS COMMUNICATIONS,IEEE COMMUNICATIONS MAGAZINE,5
INTERNET RESEARCH,ONLINE INFORMATION REVIEW,5
JOURNAL OF CRYPTOLOGY,DESIGNS CODES AND CRYPTOGRAPHY,5
NEUROCOMPUTING,NEURAL NETWORKS,5
VISUAL COMPUTER,ACM TRANSACTIONS ON GRAPHICS,5
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,4
ADVANCES IN ENGINEERING SOFTWARE,COMPUTERS & STRUCTURES,4
CRYPTOGRAPHY AND COMMUNICATIONS-DISCRETE-STRUCTURES BOOLEAN FUNCTIONS AND SEQUENCES,DESIGNS CODES AND CRYPTOGRAPHY,4
