true_journal,test_samples,top_1_accuracy,top_5_hit_rate,median_true_rank
ANNALS OF TELECOMMUNICATIONS-ANNALES DES TELECOMMUNICATIONS,5,0.0,0.0,172.0
TSINGHUA SCIENCE AND TECHNOLOGY,5,0.0,0.0,60.0
ANNALS OF TELECOMMUNICATIONS,6,0.0,0.0,71.5
ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY,7,0.0,0.0,36.0
COGNITIVE COMPUTATION,8,0.0,0.0,36.5
INTERNATIONAL JOURNAL OF COMPUTATIONAL INTELLIGENCE SYSTEMS,8,0.0,0.0,24.0
WORLD WIDE WEB-INTERNET AND WEB INFORMATION SYSTEMS,12,0.0,0.0,35.0
INTEGRATED COMPUTER-AIDED ENGINEERING,15,0.0,0.0667,15.0
JOURNAL OF COMMUNICATIONS AND NETWORKS,15,0.0,0.0667,23.0
JOURNAL OF COMPUTER SCIENCE AND TECHNOLOGY,15,0.0,0.0667,69.0
